T	E[E]	E[M]	CV	X
2	-1.81315	0.911113	0.734571	0.191238
2.08	-1.74885	-0.879702	0.920689	0.356643
2.16	-1.66499	-0.824772	1.25659	1.3426
2.24	-1.54567	-0.129642	2.1285	335.612
2.32	-1.37862	-0.103465	1.76129	82.2339
2.4	-1.27392	-0.0243207	1.22447	30.0562
2.54	-1.14173	0.00587642	0.80272	7.92765
2.48	-1.19137	0.0252815	0.911897	11.5539
2.02	-1.79827	-0.904146	0.76671	0.230055
2.1	-1.72858	-0.866691	0.984935	0.521458
2.18	-1.64045	-0.808776	1.27463	1.07179
2.26	-1.5119	0.635727	2.20839	18.7126
2.34	-1.34673	0.0202209	1.49287	60.314
2.42	-1.25104	0.00303371	1.06729	20.3279
2.56	-1.12645	-0.00191615	0.759394	6.85345
2.5	-1.17554	-0.0142064	0.879479	10.358
2.04	-1.78256	-0.896627	0.805495	0.264308
2.12	-1.70853	-0.855838	1.01486	0.545663
2.2	-1.61523	-0.787467	1.37511	1.86988
2.28	-1.46727	-0.072144	2.23346	223.266
2.36	-1.32254	-0.0537475	1.38999	50.9981
2.44	-1.22953	-0.0404065	0.995164	17.8275
2.58	-1.1106	0.00198753	0.734729	5.85999
2.52	-1.15704	0.00536693	0.82544	8.13724
2.06	-1.76605	0.888513	0.876412	0.30446
2.14	-1.68784	-0.841863	1.14021	0.875372
2.22	-1.58525	0.757058	1.50174	2.7804
2.46	-1.21062	-0.00751579	0.948043	14.1002
2.3	-1.42455	0.0076249	2.16532	156.533
2.38	-1.29881	0.0438381	1.22491	42.5236
