T	E[E]	E[M]	CV	X
2.88	-nan	-nan	-nan	-nan
2.52	-nan	-nan	-nan	-nan
2.14	-nan	-nan	-nan	-nan
2.64	-nan	-nan	-nan	-nan
2	-nan	-nan	-nan	-nan
2.28	-nan	-nan	-nan	-nan
2.76	-nan	-nan	-nan	-nan
2.4	-nan	-nan	-nan	-nan
2.66	-nan	-nan	-nan	-nan
2.3	-nan	-nan	-nan	-nan
2.16	-nan	-nan	-nan	-nan
2.54	-nan	-nan	-nan	-nan
2.78	-nan	-nan	-nan	-nan
2.02	-nan	-nan	-nan	-nan
2.42	-nan	-nan	-nan	-nan
2.9	-nan	-nan	-nan	-nan
2.18	-nan	-nan	-nan	-nan
2.68	-nan	-nan	-nan	-nan
2.56	-nan	-nan	-nan	-nan
2.32	-nan	-nan	-nan	-nan
2.8	-nan	-nan	-nan	-nan
2.04	-nan	-nan	-nan	-nan
2.44	-nan	-nan	-nan	-nan
2.2	-nan	-nan	-nan	-nan
2.7	-nan	-nan	-nan	-nan
2.58	-nan	-nan	-nan	-nan
2.34	-nan	-nan	-nan	-nan
2.82	-nan	-nan	-nan	-nan
2.06	-nan	-nan	-nan	-nan
2.46	-nan	-nan	-nan	-nan
2.22	-nan	-nan	-nan	-nan
2.72	-nan	-nan	-nan	-nan
2.92	-nan	-nan	-nan	-nan
2.36	-nan	-nan	-nan	-nan
2.84	-nan	-nan	-nan	-nan
2.08	-nan	-nan	-nan	-nan
2.48	-nan	-nan	-nan	-nan
2.74	-nan	-nan	-nan	-nan
2.24	-nan	-nan	-nan	-nan
2.38	-nan	-nan	-nan	-nan
2.86	-nan	-nan	-nan	-nan
2.94	-nan	-nan	-nan	-nan
2.1	-nan	-nan	-nan	-nan
2.5	-nan	-nan	-nan	-nan
2.26	-nan	-nan	-nan	-nan
2.12	-nan	-nan	-nan	-nan
2.96	-nan	-nan	-nan	-nan
2.98	-nan	-nan	-nan	-nan
2.6	-nan	-nan	-nan	-nan
2.62	-nan	-nan	-nan	-nan
