T	E[E]	E[M]	CV	X
2	-1.75362	-0.730994	2.76062	26.6152
2.14	-1.59828	0.548894	1.59635	14.1002
2.28	-1.40555	0.0255972	0.976448	4.69536
2.52	-1.15603	-0.0488312	0.804409	3.97053
2.4	-1.29353	0.309603	1.23323	11.6744
2.64	-1.07563	-0.102567	0.738266	2.90022
2.88	-0.936857	0.0290361	0.474349	1.57691
2.76	-0.997132	-0.0039125	0.627122	1.70773
2.16	-1.63168	-0.713942	1.82819	15.0707
2.02	-1.67615	0.124121	0.677794	3.50874
2.54	-1.13611	0.00848403	0.690296	7.18616
2.42	-1.24626	-0.0546264	0.894836	4.95335
2.66	-1.05748	-0.00422639	0.68698	3.98284
2.9	-0.932101	-0.0195646	0.47805	1.36208
2.78	-0.984844	0.00357986	0.487897	1.62635
2.3	-1.35093	0.0772917	0.9169	7.47729
2.18	-1.57892	0.563178	1.9749	33.4817
2.44	-1.22	0.0532076	0.968895	8.93649
2.04	-1.69232	0.480056	2.35428	53.6255
2.56	-1.12694	0.0816292	0.814838	6.30362
2.68	-1.03596	-0.0239951	0.566719	2.47639
2.8	-0.972793	-0.0217799	0.485794	1.69306
2.92	-0.919211	0.000548611	0.426635	1.46472
2.32	-1.41264	0.53086	1.69786	7.67561
2.2	-1.58736	-0.714385	1.48618	6.9245
2.46	-1.20436	0.124099	0.792055	8.77256
2.06	-1.64358	0.192874	0.767021	3.80447
2.7	-1.02953	0.00764097	0.566919	3.77308
2.82	-0.960286	0.000697917	0.449675	1.18893
2.58	-1.11328	-0.0164465	0.631294	3.4704
2.94	-0.909428	-0.0134424	0.416214	1.28068
2.34	-1.33954	0.26674	1.57806	31.5572
2.22	-1.55603	-0.686743	2.16208	7.10229
2.08	-1.70732	-0.74005	2.5973	32.2386
2.48	-1.19108	-0.0918201	0.839593	10.8112
2.72	-1.01856	-0.0197819	0.586994	2.63846
2.84	-0.957339	0.00750625	0.517927	1.35669
2.6	-1.09676	-0.0622243	0.757202	1.82993
2.96	-0.897801	-0.0250847	0.396809	1.65193
2.24	-1.56443	0.742265	1.18259	1.45788
2.36	-1.32038	0.276831	1.33043	8.80646
2.1	-1.68065	0.683183	2.96426	27.4047
2.5	-1.17613	-0.00830833	0.773423	3.09851
2.74	-1.01066	-0.0120514	0.546175	2.98711
2.86	-0.943794	0.0205632	0.435501	1.45457
2.62	-1.08078	-0.0320576	0.689416	4.08229
2.38	-1.30262	-0.119263	0.937509	13.7738
2.12	-1.69342	0.789737	1.83463	9.63102
2.26	-1.4907	0.533669	1.32906	6.42995
2.98	-0.892249	0.00675417	0.422008	1.3886
