T	E[E]	E[M]	CV	X
2.52	-1.7	-0.069375	0.327948	0.551363
2	-1.8825	-0.281875	0.221471	0.872575
2.88	-1.4775	0.005625	0.382419	0.378575
2.76	-1.57	-0.06375	0.360196	0.430627
2.4	-1.7375	0.1275	0.317128	0.610568
2.02	-1.8825	-0.286875	0.217107	0.853204
2.54	-1.695	-0.0675	0.327134	0.541516
2.9	-1.4725	0.00625	0.379425	0.372921
2.78	-1.56	0.229375	0.360888	0.397189
2.28	-1.7925	-0.048125	0.286557	0.703882
2.42	-1.73	0.141875	0.319435	0.595946
2.56	-1.68	-0.1525	0.334647	0.518222
2.04	-1.8725	-0.2875	0.22976	0.832301
2.3	-1.7825	-0.05375	0.293519	0.688184
2.8	-1.5525	-0.221875	0.360013	0.391668
2.44	-1.73	-0.166875	0.31422	0.581024
2.64	-1.6	-0.200625	0.373516	0.457592
2.58	-1.675	-0.03375	0.333555	0.52127
2.06	-1.8725	-0.2875	0.225321	0.816218
2.82	-1.535	-0.17	0.364509	0.392435
2.32	-1.7775	0.176875	0.294284	0.654078
2.46	-1.7175	0.099375	0.321106	0.5802
2.6	-1.6625	0.121875	0.338348	0.502009
2.08	-1.8625	0.07625	0.237069	0.867681
2.84	-1.5325	-0.169375	0.360719	0.386567
2.34	-1.775	-0.03625	0.292114	0.664181
2.48	-1.715	-0.1	0.324791	0.570188
2.62	-1.6175	0.151875	0.366809	0.478642
2.1	-1.86	0.074375	0.236486	0.850638
2.86	-1.505	-0.115	0.374557	0.383395
2.36	-1.7725	-0.036875	0.289966	0.652264
2.5	-1.715	0.0025	0.319616	0.567505
2.14	-1.8375	0.07375	0.26113	0.811838
2.12	-1.8575	0.07375	0.235871	0.833911
2.38	-1.7625	-0.040625	0.295966	0.638491
2.16	-1.8225	0.03875	0.277691	0.794888
2.18	-1.82	-0.039375	0.276079	0.779539
2.2	-1.8175	-0.039375	0.27447	0.764912
2.22	-1.8175	-0.039375	0.269547	0.751192
2.24	-1.805	-0.039375	0.280943	0.733348
2.26	-1.8025	-0.04375	0.279144	0.719896
2.66	-1.6	0.200625	0.36792	0.450737
2.68	-1.5925	-0.18375	0.367436	0.446083
2.7	-1.575	-0.175	0.373237	0.437103
2.72	-1.575	-0.175	0.367769	0.430699
2.74	-1.5675	0.06375	0.366991	0.436936
2.92	-1.47	0.006875	0.375352	0.367386
2.94	-1.4525	0.000625	0.377743	0.358661
2.96	-1.4325	-0.0425	0.380746	0.349148
2.98	-1.4325	-0.0425	0.375653	0.344478
