T	E[E]	E[M]	CV	X
2.12	-1.64577	0.857104	1.03829	0.593452
2.08	-1.68502	0.880069	0.896467	0.369369
2.2	-1.55028	0.78742	1.43844	1.72345
2	-1.74916	-0.911946	0.720056	0.182064
2.04	-1.71823	0.896986	0.814744	0.270075
2.28	-1.41612	-0.0654841	2.04456	124.696
2.16	-1.60178	-0.828281	1.197	0.964359
2.24	-1.48886	0.719755	1.70792	5.15629
2.1	-1.66283	-0.866865	0.997234	0.507983
2.22	-1.51923	0.756398	1.49516	2.78836
2.14	-1.62222	0.84172	1.13145	0.820121
2.02	-1.73237	0.904029	0.778308	0.226772
2.06	-1.70008	-0.888106	0.869678	0.309587
2.18	-1.57579	0.809492	1.23255	1.09684
2.26	-1.45114	0.241809	1.83523	128.742
