T	E[E]	E[M]	CV	X
2	-1.74759	-0.806393	2.44259	152.338
2.16	-1.6116	-0.827736	1.18093	0.927302
2.08	-1.69426	-0.879504	0.894948	0.342391
2.04	-1.72851	-0.897042	0.808586	0.256949
2.24	-1.49301	0.698808	1.85141	7.62862
2.12	-1.6558	0.857268	1.01858	0.543035
2.28	-1.41326	0.0269015	2.36192	585.111
2.2	-1.56084	-0.78688	1.37344	1.97007
2.02	-1.74408	0.904593	0.759987	0.222561
2.1	-1.67553	0.868952	0.941078	0.444029
2.14	-1.6336	-0.842434	1.11212	0.778636
2.18	-1.58718	0.809382	1.27711	1.25616
2.06	-1.71156	0.888327	0.850894	0.316014
2.26	-1.45938	0.652549	2.18271	14.1769
2.22	-1.52889	0.751772	1.58149	3.99038
