E_i	M_i	A(t)
0	0.5	0
-2	1	0.75
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
