T	E[E]	E[M]	CV	X
2.14	-1.62052	0.841171	1.16756	0.678258
2	-1.748	0.911899	0.705976	0.174372
2.28	-1.40124	0.526563	1.8962	28.6507
2.88	-0.871487	5.57812e-05	0.458399	1.82251
2.52	-1.08675	0.0155956	0.809959	8.74129
2.76	-0.931327	-0.00398328	0.555391	2.43068
2.64	-0.999111	0.0165612	0.612286	3.84089
2.4	-1.21129	0.115905	1.22026	24.1613
2.16	-1.60375	-0.831637	1.13493	0.739567
2.3	-1.3585	-0.0224219	1.94223	85.5975
2.02	-1.73082	0.902367	0.775057	0.247444
2.9	-0.861172	-0.00220734	0.440511	1.67929
2.66	-0.987903	0.00646453	0.654292	4.0844
2.54	-1.07681	0.04846	0.828589	8.29867
2.42	-1.18828	0.0201934	1.1833	22.9952
2.78	-0.920825	-0.00390188	0.531635	2.5673
2.18	-1.5753	-0.810812	1.26965	1.03475
2.04	-1.71773	0.897468	0.784236	0.229297
2.32	-1.31362	0.237009	1.67192	42.3258
2.56	-1.05553	-0.00401266	0.720898	6.42269
2.92	-0.854314	-0.0137334	0.457296	1.69471
2.68	-0.978086	-0.000463125	0.605125	3.38251
2.44	-1.16704	-0.0681163	1.05184	17.6555
2.8	-0.908079	0.016388	0.514612	2.27135
2.06	-1.69993	0.888511	0.84507	0.269518
2.2	-1.54597	0.785318	1.42104	1.68027
2.34	-1.2886	-0.0176205	1.92236	56.4417
2.7	-0.965855	0.00939359	0.597315	3.20415
2.94	-0.844213	-0.000925156	0.419501	1.42506
2.58	-1.04548	-0.0145642	0.777005	7.19805
2.46	-1.14469	0.00518203	0.917243	13.2366
2.82	-0.900294	-0.0141522	0.508894	2.07948
2.08	-1.68528	-0.881603	0.878452	0.289224
2.22	-1.52242	-0.764525	1.39652	1.61732
2.36	-1.26545	-0.0276183	1.44196	45.4971
2.72	-0.954316	0.00522219	0.574028	3.04243
2.96	-0.836941	0.00176594	0.412111	1.35595
2.6	-1.0302	-0.010537	0.718245	5.08512
2.48	-1.12578	0.0207187	0.937571	10.4209
2.84	-0.890212	-0.00309234	0.490516	1.77481
2.1	-1.66514	-0.870172	0.962343	0.400284
2.24	-1.48383	-0.723564	1.57039	2.92902
2.38	-1.23794	0.0615959	1.40845	34.4075
2.62	-1.02039	0.00521656	0.671119	4.72794
2.98	-0.828651	-0.000999375	0.428646	1.34549
2.74	-0.943257	0.0158605	0.567031	2.77061
2.5	-1.10683	-0.0222275	0.90344	10.2722
2.86	-0.882084	-0.00257469	0.475519	1.90069
2.12	-1.64234	0.855634	1.01933	0.510775
2.26	-1.44513	-0.658808	1.96172	6.16286
