E_i	M_i	A(t)
-0.02	0.025	0
-0.85	0.1	0.4975
-1.16	0.095	0.2675
-1.28	0.075	0.175
-1.33	0.035	0.13
-1.39	0.05	0.1825
-1.42	0.13	0.14
-1.43	0.115	0.1375
-1.43	0.14	0.1475
-1.45	0.18	0.11
-1.49	0.185	0.1175
-1.52	0.26	0.1425
-1.57	0.3	0.115
-1.59	0.32	0.1
-1.61	0.35	0.115
-1.64	0.425	0.1025
-1.64	0.44	0.1025
-1.66	0.465	0.0825
-1.65	0.435	0.08
-1.68	0.41	0.0675
-1.7	0.45	0.08
-1.7	0.47	0.07
-1.69	0.445	0.0875
-1.71	0.475	0.07
-1.72	0.49	0.0725
-1.72	0.54	0.075
-1.73	0.605	0.0825
-1.72	0.605	0.075
-1.74	0.64	0.0725
-1.71	0.61	0.06
-1.71	0.65	0.045
-1.73	0.67	0.05
-1.76	0.72	0.06
-1.77	0.705	0.0475
-1.76	0.725	0.055
-1.79	0.75	0.0475
-1.81	0.75	0.05
-1.81	0.76	0.02
-1.83	0.785	0.0325
-1.86	0.8	0.0225
-1.86	0.825	0.0225
-1.85	0.84	0.0225
-1.86	0.855	0.0275
-1.85	0.875	0.045
-1.85	0.855	0.025
-1.86	0.865	0.025
-1.86	0.87	0.0275
-1.86	0.855	0.0375
-1.86	0.865	0.035
-1.86	0.855	0.01
-1.87	0.88	0.0375
-1.88	0.875	0.0225
-1.87	0.88	0.0175
-1.9	0.92	0.03
-1.93	0.97	0.025
-1.95	0.99	0.02
-1.96	0.99	0.005
-1.96	0.99	0
-1.99	1	0.005
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.97	0.995	0.0025
-1.99	1	0.0025
-1.97	0.995	0.0025
-1.97	0.995	0
-1.99	1	0.0025
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0.005
-1.99	1	0
-1.99	1	0
-1.99	1	0.005
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.97	0.995	0.0025
-1.99	1	0.0025
-1.99	1	0
-1.99	1	0
-1.99	1	0.005
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.97	0.995	0.0025
-1.97	0.995	0
-1.99	1	0.0025
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.97	0.995	0.0025
-1.97	0.995	0
-1.97	0.995	0.005
-1.99	1	0.0025
-1.99	1	0
-1.97	0.995	0.0025
-1.99	1	0.0025
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.99	1	0
-1.97	0.995	0.0025
-1.97	0.995	0
-1.97	0.995	0
-1.97	0.995	0
