T	E[E]	E[M]	CV	X
2.14	-1.56151	-0.031087	1.06902	6.56982
2	-1.66501	-0.0382995	2.03246	3.46546
2.28	-1.38042	0.279659	1.53109	49.7897
2.64	-1.01107	-0.0076835	0.694257	2.96066
2.52	-1.10255	-0.010213	0.712331	8.79284
2.4	-1.20841	0.00159825	0.824529	21.9977
2.88	-0.881571	0.0037065	0.463086	1.4845
2.76	-0.941231	-0.00052575	0.509553	1.54301
2.02	-1.69607	0.74287	5.41382	68.0543
2.54	-1.08417	-0.0016735	0.942853	5.3349
2.66	-1.00083	-0.00536525	0.677483	3.68336
2.16	-1.54637	-0.408539	1.04592	6.03142
2.9	-0.872359	-0.00461025	0.466209	1.51239
2.3	-1.33207	0.211751	1.00725	9.45285
2.42	-1.19625	0.0117045	0.751653	12.1238
2.78	-0.93393	0.0139055	0.555145	2.28179
2.04	-1.63737	-0.0033655	1.12948	3.4672
2.56	-1.07129	0.016607	0.795458	3.10318
2.68	-0.991865	-0.0234563	0.582614	3.6866
2.18	-1.4813	-0.321793	1.73118	26.0459
2.44	-1.16731	-0.0568768	0.939896	13.4205
2.92	-0.865639	0.00795225	0.399769	1.6157
2.8	-0.920009	0.012862	0.507915	1.88473
2.32	-1.31601	-0.197748	1.29951	13.7807
2.06	-1.62526	-0.00663175	1.47629	4.61523
2.58	-1.0535	0.00817325	0.643071	4.6112
2.7	-0.973553	0.0112945	0.520808	3.86712
2.2	-1.4978	-0.125562	1.13106	4.42395
2.46	-1.1553	0.056137	0.771864	5.91884
2.94	-0.853361	-0.0026745	0.459574	1.54508
2.34	-1.3024	0.327848	0.997209	8.3309
2.82	-0.90981	0.0112615	0.496304	1.57647
2.08	-1.62011	0.382607	1.18403	6.19652
2.6	-1.04491	0.0527893	0.839493	4.05854
2.22	-1.46775	0.395984	1.23616	30.9147
2.72	-0.965176	-0.00988975	0.56242	2.60118
2.48	-1.14331	0.0649577	0.666811	11.965
2.96	-0.849275	0.00802425	0.385427	1.12661
2.36	-1.27191	-0.163819	1.59232	7.62441
2.84	-0.901647	0.002102	0.476806	1.44642
2.1	-1.55726	-0.129936	2.22291	20.238
2.24	-1.42521	-0.048961	1.01052	4.85562
2.62	-1.02838	-0.00662725	0.715333	5.41689
2.74	-0.956009	0.00383725	0.590107	1.94168
2.38	-1.23683	0.067516	1.04137	6.99056
2.5	-1.11724	0.0643158	0.960986	6.70568
2.86	-0.892038	0.0129368	0.47603	2.13515
2.98	-0.839233	-0.0001635	0.427855	1.22012
2.12	-1.59122	0.631483	2.27747	21.1822
2.26	-1.3985	0.268503	1.64383	7.10876
