T	E[E]	E[M]	CV	X
2	-1.74791	0.912134	0.639027	0.157963
2.14	-1.57604	0.724345	2.4294	11.0411
2.88	-0.865516	-0.0151656	0.43778	1.28148
2.52	-1.08736	-0.0261703	0.848802	5.36413
2.64	-1.00212	-0.0233109	0.557819	3.11703
2.28	-1.37384	0.473166	1.79569	13.5399
2.76	-0.935109	0.0394844	0.540937	1.75245
2.4	-1.21437	0.0340266	1.1031	6.85141
2.02	-1.73277	0.904173	0.715151	0.244616
2.16	-1.543	0.672253	2.13919	13.4721
2.9	-0.867509	0.0159516	0.498687	2.17262
2.54	-1.07391	-0.0795641	0.809549	6.37214
2.66	-0.986709	0.0140531	0.638728	3.77958
2.78	-0.922325	0.000198437	0.530997	3.04935
2.3	-1.35148	0.527391	1.56296	4.37628
2.42	-1.17572	0.128558	0.960642	6.03166
2.04	-1.69576	0.824053	1.94395	10.5195
2.18	-1.48311	0.494053	2.07793	22.4284
2.56	-1.06163	-0.0471516	0.834238	5.05235
2.68	-0.976859	-0.0396437	0.600778	2.17726
2.92	-0.855769	0.0124297	0.500098	1.94829
2.8	-0.909469	0.0311656	0.521353	2.15542
2.32	-1.30847	-0.406238	1.5646	5.73642
2.44	-1.1804	0.317155	0.888595	4.88291
2.06	-1.69934	0.885045	0.952215	0.532111
2.2	-1.50253	0.691986	2.00468	6.62063
2.7	-0.967116	0.0145406	0.656067	2.56399
2.58	-1.03374	-0.0289859	0.726251	3.21164
2.94	-0.844488	-0.000304687	0.463602	1.93577
2.82	-0.902613	-0.00677188	0.485263	1.74193
2.34	-1.30318	-0.467289	1.92919	9.33416
2.08	-1.67628	0.867109	1.18254	1.3993
2.46	-1.13816	0.0711016	0.890294	6.99857
2.22	-1.49514	-0.658058	2.04717	20.8583
2.72	-0.951553	-0.0239688	0.664434	3.33524
2.96	-0.834091	0.0129313	0.431895	1.04926
2.6	-1.03134	0.0395656	0.64405	4.46984
2.84	-0.888556	0.0172594	0.497816	1.97574
2.36	-1.25028	-0.293208	1.5941	8.47629
2.1	-1.66393	0.86788	1.0023	0.592123
2.24	-1.46893	-0.652369	2.13166	10.1488
2.98	-0.827772	-0.0121109	0.405223	1.1598
2.74	-0.947472	0.0130563	0.574091	2.75277
2.62	-1.01399	-0.00922188	0.616481	3.42604
2.86	-0.888881	-0.0417078	0.591107	2.09053
2.38	-1.22089	0.293875	1.08647	3.42696
2.48	-1.11746	-0.00342969	1.0064	4.87833
2.12	-1.6379	0.829823	1.358	4.02072
2.26	-1.41123	-0.506628	2.11993	30.3808
2.5	-1.10835	0.0269984	0.801885	6.2
