T	E[E]	E[M]	CV	X
2	-1.77645	0.911935	0.738077	0.177799
2.28	-1.44037	-0.606818	2.14467	13.2915
2.14	-1.6532	0.847074	1.04642	0.497277
2.76	-0.959808	-0.0024927	0.548383	2.61312
2.64	-1.03143	0.0151389	0.656974	3.99451
2.88	-0.900324	-0.00284199	0.46081	1.6723
2.52	-1.11869	0.00444227	0.82097	9.0485
2.4	-1.23621	-0.0182986	1.18144	31.2984
2.02	-1.74353	-0.803968	2.41872	62.2554
2.3	-1.38492	-0.331783	1.972	79.4265
2.16	-1.63172	-0.832658	1.14655	0.832603
2.78	-0.949152	-0.000598711	0.52681	2.46521
2.42	-1.21592	0.0259015	1.08516	24.6141
2.54	-1.10619	0.0118305	0.76943	9.08476
2.66	-1.019	0.00536414	0.661523	3.86441
2.9	-0.891055	0.00643797	0.472292	1.7414
2.04	-1.74493	0.896268	0.807836	0.249824
2.32	-1.35499	0.390459	1.48006	24.5095
2.18	-1.57201	0.578519	3.41185	129.626
2.8	-0.938641	-0.00294164	0.511542	2.36821
2.44	-1.19353	-0.0785548	0.970486	17.8971
2.68	-1.00697	-0.0165429	0.622488	3.50615
2.56	-1.08714	0.00432699	0.73834	5.23198
2.92	-0.881939	0.000434961	0.429838	1.53676
2.06	-1.72949	-0.88941	0.883069	0.294381
2.2	-1.57129	0.765867	1.57516	4.80744
2.34	-1.3151	-0.171786	1.58399	60.148
2.82	-0.929493	-0.00182996	0.504245	1.88495
2.46	-1.17121	-0.0385019	0.931951	15.4418
2.7	-0.993523	-0.000676133	0.596697	3.49701
2.58	-1.0737	-0.0142407	0.724948	6.01441
2.94	-0.873345	-0.00228625	0.436303	1.43263
2.08	-1.70953	0.875471	0.880719	0.577247
2.22	-1.54083	-0.692864	2.3705	42.9748
2.36	-1.28643	0.202082	1.30288	20.177
2.48	-1.15515	0.0053827	0.909594	14.2298
2.84	-0.91876	0.00678992	0.487449	2.06204
2.6	-1.05862	-0.0108674	0.696685	5.12714
2.72	-0.983042	-0.014888	0.576174	2.79617
2.96	-0.865287	0.00544777	0.419973	1.39631
2.1	-1.69197	0.867548	1.03505	0.591739
2.24	-1.52135	-0.736736	1.38713	2.26183
2.38	-1.26045	0.00833215	1.20804	49.1665
2.86	-0.909092	-0.00154723	0.479534	1.94171
2.5	-1.13541	-0.0198521	0.801209	7.97634
2.74	-0.971615	-0.00076082	0.582676	2.95277
2.62	-1.04463	-0.00992676	0.668562	5.43839
2.98	-0.856527	0.00353047	0.408982	1.26902
2.12	-1.61144	0.29891	3.51354	227.676
2.26	-1.4549	-0.552732	1.83216	16.4773
