E_i	M_i
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
-2	1
