T	E[E]	E[M]	CV	X
2.14	-1.59383	-0.523245	3.49294	213.928
2	-1.68744	0.305009	0.719418	25.3843
2.28	-1.37176	-0.12048	1.80069	81.6717
2.76	-0.942815	0.000975325	0.52435	2.68327
2.52	-1.10214	-0.0168229	0.858255	8.40329
2.88	-0.882154	0.00087975	0.462953	1.68306
2.4	-1.21657	0.0383073	1.11537	19.1371
2.64	-1.01389	0.00554995	0.668149	3.87071
2.02	-1.74321	0.903228	0.778979	0.335169
2.16	-1.60347	0.788459	1.972	25.9979
2.54	-1.08486	-0.00261262	0.798609	6.98679
2.78	-0.930667	-0.000745475	0.530275	2.56411
2.3	-1.36296	-0.400233	1.62957	22.1024
2.9	-0.873833	-0.000277525	0.454191	1.53811
2.42	-1.19773	-0.00204065	1.08842	16.1197
2.66	-1.00175	0.0026964	0.633142	3.78842
2.04	-1.7283	0.896444	0.78416	0.294374
2.18	-1.56504	0.682609	2.58907	66.5173
2.56	-1.07138	0.0083043	0.778188	6.00589
2.8	-0.92156	0.00396055	0.512863	2.42491
2.32	-1.33141	0.338666	1.86181	38.6718
2.44	-1.17451	-0.0155433	0.987742	16.974
2.92	-0.863421	0.00338927	0.429716	1.48392
2.68	-0.987699	-0.0102347	0.623458	3.47884
2.06	-1.71046	0.881902	1.01107	2.37181
2.2	-1.5478	0.728842	1.93926	22.5384
2.58	-1.05624	0.00393513	0.724064	5.75185
2.82	-0.911815	-0.0011541	0.491447	2.0983
2.94	-0.855808	0.00122632	0.429417	1.5497
2.34	-1.29192	0.0443727	1.39875	39.4162
2.46	-1.15479	-0.0179646	0.993591	10.5762
2.7	-0.976613	0.000285525	0.589414	3.75184
2.08	-1.69481	0.879957	0.912607	0.3403
2.22	-1.53334	0.761457	1.46775	2.79401
2.6	-1.0429	0.0132125	0.728943	5.33103
2.36	-1.2656	-0.105768	1.19603	37.4389
2.96	-0.84645	-0.00169183	0.420881	1.32714
2.84	-0.900617	0.0043129	0.473486	1.83436
2.48	-1.13662	-0.0169411	0.939581	8.44128
2.72	-0.965426	-0.00218985	0.596035	3.20701
2.1	-1.67555	0.868913	0.943811	0.422371
2.24	-1.48295	-0.627504	2.38904	48.6223
2.62	-1.02688	-0.0053153	0.660589	4.23472
2.38	-1.23699	-0.0166278	1.1347	17.1658
2.86	-0.891794	0.000457375	0.465414	1.78575
2.98	-0.837967	0.00503138	0.412589	1.21552
2.5	-1.11957	-0.00577147	0.826037	9.75848
2.74	-0.953977	-0.0003869	0.549515	2.6199
2.12	-1.5808	0.0872511	1.02724	16.867
2.26	-1.4483	-0.566871	2.55695	64.005
