T	E[E]	E[M]	CV	X
2	-1.81364	-0.911486	0.719122	0.195325
2.08	-1.74896	0.879721	0.898562	0.347864
2.04	-1.78296	0.897009	0.804277	0.252774
2.2	-1.61614	-0.788189	1.36384	1.79777
2.12	-1.71086	-0.858194	1.01983	0.524095
2.16	-1.66713	0.829017	1.17275	0.91427
2.28	-1.4605	-0.281234	2.47957	151.542
2.24	-1.55154	-0.714353	1.76796	5.23186
2.02	-1.79826	0.904321	0.756641	0.222896
2.06	-1.76598	0.888575	0.840947	0.29584
2.18	-1.64074	-0.805654	1.34539	2.27842
2.14	-1.6889	0.843997	1.10956	0.700244
2.26	-1.51621	0.631169	1.94783	40.7065
2.1	-1.72999	-0.869372	0.968037	0.434609
2.22	-1.58693	-0.762943	1.5293	2.47657
