T	E[E]	E[M]	CV	X
2	-1.81242	0.905689	0.841697	1.41493
2.14	-1.69023	-0.845212	1.08672	0.660185
2.4	-1.27943	0.0929217	1.13141	31.4917
2.52	-1.15861	0.00293812	0.795373	6.87012
2.28	-1.46842	0.258747	2.19951	177.977
2.88	-0.937318	0.00537535	0.473173	1.97913
2.76	-0.997384	0.00400569	0.515512	2.75841
2.64	-1.06765	0.00290563	0.645992	3.9377
2.02	-1.79827	0.904312	0.749933	0.227229
2.16	-1.67029	0.833287	1.14366	0.736886
2.42	-1.24967	0.0458447	1.00533	16.2081
2.3	-1.4098	-0.240755	1.86148	76.3465
2.54	-1.14068	-0.0361078	0.760915	7.20637
2.9	-0.928749	0.00237889	0.461368	1.48913
2.78	-0.987979	-0.0019084	0.537251	2.68977
2.66	-1.05699	-0.00230111	0.606658	3.70089
2.04	-1.78198	0.895324	0.835882	0.321297
2.18	-1.64214	-0.81115	1.20483	0.889987
2.44	-1.22578	-0.0692251	0.959869	15.4948
2.32	-1.39968	-0.472785	1.6342	14.1968
2.56	-1.12222	-0.0193228	0.772962	5.54118
2.92	-0.918448	-0.00550729	0.441769	1.45836
2.68	-1.04286	-0.0106994	0.614751	3.01386
2.8	-0.97716	-0.00342424	0.517769	2.51255
2.06	-1.76539	0.888588	0.822069	0.267543
2.2	-1.61426	0.786542	1.28217	1.76845
2.46	-1.21265	-0.00284326	0.838994	10.5921
2.34	-1.35373	0.197745	1.816	54.9188
2.58	-1.10942	-0.00604681	0.754085	5.73369
2.94	-0.909636	-0.00214139	0.435186	1.48517
2.7	-1.02921	-0.00153021	0.597895	3.26069
2.82	-0.966518	0.00138618	0.50936	2.15183
2.08	-1.7495	0.880131	0.883324	0.345765
2.22	-1.58954	0.766559	1.4097	2.19293
2.48	-1.18778	-0.0216079	0.85216	10.5299
2.36	-1.33125	-0.133003	1.47145	65.1816
2.6	-1.09689	-0.0030441	0.741567	6.20912
2.96	-0.902491	-0.00626194	0.410486	1.4527
2.72	-1.01984	0.00495562	0.574365	2.89458
2.84	-0.95538	0.00102938	0.471852	1.89234
2.1	-1.72996	-0.868939	0.952112	0.405199
2.24	-1.55903	-0.735472	1.64039	2.79156
2.5	-1.17377	0.025921	0.838955	8.38097
2.38	-1.29547	-0.164494	1.29165	21.1309
2.62	-1.08401	-0.00915444	0.676297	5.15684
2.74	-1.00794	-0.0130236	0.545666	2.95671
2.98	-0.893678	0.00222229	0.388627	1.31132
2.86	-0.946416	-0.000118542	0.466197	1.89783
2.12	-1.70975	-0.856086	1.04592	0.583514
2.26	-1.51574	-0.658024	2.02447	13.339
