T	E[E]	E[M]	CV	X
2	-1.77614	-0.911278	0.729586	0.19664
2.08	-1.71101	0.878982	0.90532	0.369287
2.04	-1.7454	-0.896787	0.797826	0.254109
2.12	-1.67215	-0.856216	1.04021	0.63158
2.2	-1.57776	-0.787102	1.37947	1.81448
2.16	-1.6283	-0.826995	1.17545	0.994633
2.24	-1.51768	-0.725373	1.56641	3.89353
2.28	-1.43216	0.387234	2.156	214.478
2.22	-1.54768	-0.755204	1.54119	3.12031
2.18	-1.60433	-0.808113	1.28146	1.46616
2.14	-1.65134	0.842803	1.11019	0.784477
2.02	-1.76115	-0.904229	0.768567	0.233165
2.06	-1.72914	-0.888541	0.83697	0.304506
2.26	-1.48123	0.673401	1.88239	7.20572
2.1	-1.69283	-0.868948	0.953442	0.435453
