T	E[E]	E[M]	CV	X
2	-1.75876	0.911366	0.700024	0.18191
2.08	-1.69362	0.878879	0.880127	0.360677
2.24	-1.49772	-0.71666	1.69092	6.32222
2.16	-1.6114	0.828015	1.18183	0.966321
2.32	-1.32995	0.218128	2.03613	131.773
2.54	-1.08583	0.000951445	0.804691	7.23088
2.4	-1.21625	0.0109115	1.16231	24.7997
2.48	-1.13665	0.00876647	0.879456	11.8869
2.02	-1.74436	0.904842	0.759272	0.21263
2.1	-1.67521	-0.868886	0.943251	0.42821
2.26	-1.45894	0.639491	2.28672	41.4753
2.18	-1.58678	-0.807819	1.28026	1.66085
2.34	-1.29407	-0.0633441	1.45409	78.9178
2.42	-1.19593	0.00126614	1.0105	20.2703
2.56	-1.07084	0.00644185	0.770361	6.34555
2.5	-1.11932	-0.0013353	0.873834	9.11315
2.04	-1.72893	-0.897443	0.796566	0.253408
2.12	-1.655	0.856342	1.0431	0.608232
2.2	-1.55871	-0.783069	1.4258	2.37497
2.28	-1.40363	0.254315	2.28706	363.387
2.36	-1.26575	0.0411484	1.33918	45.8188
2.44	-1.17541	-0.00173449	0.991196	18.0019
2.58	-1.05569	0.00776629	0.713321	5.80677
2.52	-1.10189	0.00526442	0.834489	8.68016
2.22	-1.5218	-0.710086	2.06597	27.6534
2.06	-1.71124	0.888466	0.884468	0.307051
2.46	-1.15582	-0.00756977	0.940049	13.4663
2.14	-1.63394	0.842987	1.12354	0.776495
2.38	-1.24015	0.00909242	1.20384	34.9355
2.3	-1.36037	-0.289095	2.10224	101.961
