T	E[E]	E[M]	CV	X
2.24	-1.5109	0.764646	1.33068	1.51259
2	-1.73939	-0.889655	1.12583	3.16269
2.08	-1.68377	0.878478	0.940494	0.411495
2.16	-1.60606	-0.833626	1.16965	0.736146
2.32	-1.36845	-0.600095	1.82515	5.68971
2.48	-1.14051	-0.152462	1.25148	13.6785
2.4	-1.20395	-0.0706441	1.31385	25.9852
2.54	-1.07896	0.03972	0.782717	6.48669
2.02	-1.7331	-0.904298	0.804168	0.220137
2.26	-1.4706	-0.712893	1.88191	4.57663
2.18	-1.58068	0.813812	1.27459	1.11802
2.34	-1.32072	0.395579	1.83358	32.2851
2.1	-1.67058	0.874411	0.910142	0.349443
2.5	-1.11156	0.0084475	0.79	7.12846
2.42	-1.18578	-0.137095	1.17197	13.8788
2.56	-1.05953	-0.0278659	0.811565	7.83502
2.04	-1.71973	0.897803	0.824861	0.240408
2.2	-1.55641	0.798854	1.25131	0.881197
2.28	-1.40217	0.192128	2.18163	100.741
2.12	-1.64927	0.861004	1.12256	0.507185
2.36	-1.26777	0.383286	1.32998	10.3243
2.52	-1.09402	0.0164991	0.765917	6.48222
2.44	-1.17355	0.111379	1.1187	19.8396
2.58	-1.04223	-0.0280444	0.774257	4.96719
2.38	-1.23351	0.138983	1.38073	23.4368
2.14	-1.62943	0.849126	1.15678	0.565624
2.06	-1.70445	0.890462	0.845083	0.272835
2.22	-1.52632	0.767932	1.52345	1.86474
2.3	-1.36551	-0.379137	1.69453	45.9612
2.46	-1.13862	-0.0360969	0.929692	11.7283
