T	E[E]	E[M]	CV	X
2	-1.70617	0.648185	3.88718	50.3586
2.14	-1.61859	0.761485	1.81555	4.05112
2.4	-1.23248	0.121007	0.959249	7.44038
2.28	-1.42379	0.495481	1.50737	18.868
2.52	-1.1167	0.0303434	0.784115	8.36711
2.76	-0.956943	-0.00958672	0.494539	2.76302
2.88	-0.902566	-0.0047375	0.496638	1.66166
2.64	-1.02798	0.014848	0.576681	2.91137
2.16	-1.53077	0.146281	1.5183	6.25187
2.02	-1.67412	0.58151	2.95359	25.8446
2.54	-1.10121	0.0246406	0.789375	7.31811
2.42	-1.21918	0.0226602	1.0073	9.04606
2.3	-1.37099	-0.00164492	0.937903	11.8658
2.9	-0.890895	0.00973906	0.416231	1.55286
2.78	-0.949675	-0.0267488	0.477405	2.06224
2.66	-1.01922	-0.0205406	0.617434	3.83176
2.18	-1.49959	-0.248304	1.65617	13.3711
2.04	-1.6787	-0.624238	2.27437	41.1087
2.56	-1.09688	0.0136766	0.723009	11.7584
2.92	-0.883205	-0.00659414	0.468677	1.59307
2.8	-0.942647	0.00348203	0.590681	2.76954
2.32	-1.34798	-0.101895	1.1489	12.6266
2.44	-1.19592	-0.0311477	1.21612	14.7575
2.68	-1.00867	0.0283121	0.544911	3.54072
2.06	-1.61929	0.125908	1.31831	4.14492
2.58	-1.07299	0.0545969	0.717399	3.86781
2.2	-1.52473	0.598727	2.26622	15.8939
2.82	-0.92977	0.00106523	0.570669	2.19334
2.34	-1.30758	0.0538094	1.15639	11.5795
2.94	-0.87116	-0.00282344	0.462015	1.25992
2.7	-0.992841	-0.00751367	0.785566	2.64891
2.46	-1.16567	-0.00823789	1.17226	8.89654
2.08	-1.63349	0.474796	1.43957	22.7998
2.6	-1.05681	0.000657031	0.750364	3.85665
2.22	-1.4714	0.440143	3.61791	65.9477
2.84	-0.916408	0.000981641	0.51452	1.94797
2.36	-1.28959	-0.27531	1.25706	11.6557
2.96	-0.864859	0.00443281	0.452111	1.39488
2.72	-0.975703	0.0127844	0.534187	2.42614
2.48	-1.15186	0.063457	0.974934	13.8
2.1	-1.57927	0.0391918	1.2924	48.3291
2.62	-1.04238	0.0166371	0.751323	4.02249
2.24	-1.4944	-0.672539	1.89004	5.17817
2.86	-0.908444	0.000202344	0.469191	1.89183
2.98	-0.855734	0.0103605	0.386252	1.27453
2.38	-1.25269	-0.122664	1.04514	11.2734
2.5	-1.12826	0.0154172	0.689475	3.78087
2.74	-0.96955	-0.00802305	0.609982	2.7135
2.12	-1.60254	-0.577993	1.98746	38.482
2.26	-1.45767	-0.637246	1.9593	4.40722
