T	E[E]	E[M]	CV	X
2.16	-1.62775	-0.82667	1.19447	0.926494
2	-1.77588	0.911099	0.728195	0.194064
2.08	-1.71063	-0.878477	0.914299	0.373415
2.24	-1.50602	-0.572704	2.14275	180.885
2.32	-1.34735	-0.149465	1.86243	135.352
2.4	-1.23287	0.0553271	1.11613	24.5055
2.54	-1.10264	-0.0027858	0.779887	8.04633
2.48	-1.15368	0.00254004	0.913029	12.1585
2.02	-1.76109	-0.904108	0.759014	0.230219
2.18	-1.60522	-0.810873	1.31127	1.24038
2.1	-1.69283	-0.868596	0.975105	0.468431
2.26	-1.47792	-0.64895	1.86057	12.2451
2.34	-1.31063	0.104448	1.47175	66.7119
2.42	-1.21177	0.00112004	1.04422	20.0012
2.56	-1.08797	-0.00624176	0.776983	7.00186
2.5	-1.13656	-0.0083454	0.878682	9.80062
2.04	-1.74458	0.895965	0.831141	0.3021
2.2	-1.57388	-0.778434	1.5437	3.36404
2.12	-1.67296	0.856897	1.02041	0.547367
2.28	-1.43046	-0.511584	2.31484	55.3035
2.36	-1.28393	-0.0184886	1.35105	58.9931
2.44	-1.19131	-0.00655507	1.02656	14.9168
2.52	-1.11951	0.00416827	0.832812	9.19558
2.58	-1.07324	-0.00201934	0.748399	5.89418
2.06	-1.72916	-0.888539	0.861776	0.299747
2.3	-1.38259	0.224468	2.14672	152.861
2.14	-1.6523	0.844492	1.07465	0.632213
2.22	-1.54501	-0.747136	1.69589	4.85506
2.38	-1.25946	-0.0246653	1.19331	37.0014
2.46	-1.17216	-0.00797454	0.946333	14.7079
