S	I	R	t
300	100	0	0
290.304	96.5608	13.1348	0.0333333
281.526	92.9675	25.5062	0.0666667
273.555	89.2546	37.1909	0.1
266.344	85.4702	48.1857	0.133333
259.848	81.6567	58.495	0.166667
254.021	77.8507	68.1285	0.2
248.816	74.0835	77.1002	0.233333
244.191	70.3813	85.4277	0.266667
240.103	66.7653	93.1316	0.3
236.513	63.2526	100.235	0.333333
233.383	59.8564	106.761	0.366667
230.677	56.5864	112.737	0.4
228.363	53.4493	118.187	0.433333
226.41	50.4495	123.14	0.466667
224.789	47.5891	127.622	0.5
223.474	44.8683	131.658	0.533333
222.44	42.2861	135.274	0.566667
221.663	39.8401	138.497	0.6
221.124	37.527	141.349	0.633333
220.801	35.3429	143.856	0.666667
220.678	33.2833	146.039	0.7
220.738	31.3433	147.919	0.733333
220.964	29.5176	149.518	0.766667
221.344	27.801	150.855	0.8
221.864	26.1881	151.948	0.833333
222.511	24.6735	152.815	0.866667
223.275	23.252	153.473	0.9
224.146	21.9183	153.936	0.933333
225.113	20.6675	154.22	0.966667
226.168	19.4947	154.338	1
227.303	18.3951	154.302	1.03333
228.51	17.3644	154.126	1.06667
229.782	16.3982	153.82	1.1
231.114	15.4926	153.394	1.13333
232.498	14.6436	152.858	1.16667
233.93	13.8477	152.222	1.2
235.404	13.1015	151.494	1.23333
236.916	12.4017	150.682	1.26667
238.462	11.7452	149.793	1.3
240.036	11.1294	148.834	1.33333
241.637	10.5515	147.812	1.36667
243.259	10.009	146.732	1.4
244.901	9.49954	145.6	1.43333
246.558	9.02106	144.421	1.46667
248.229	8.57147	143.199	1.5
249.911	8.14887	141.94	1.53333
251.601	7.75149	140.648	1.56667
253.297	7.37768	139.325	1.6
254.998	7.02591	137.976	1.63333
256.701	6.69474	136.604	1.66667
258.405	6.38283	135.212	1.7
260.109	6.08894	133.802	1.73333
261.81	5.81189	132.378	1.76667
263.507	5.55063	130.942	1.8
265.2	5.30412	129.496	1.83333
266.887	5.07144	128.042	1.86667
268.567	4.85171	126.582	1.9
270.239	4.64411	125.117	1.93333
271.902	4.44788	123.65	1.96667
273.555	4.26232	122.182	2
275.199	4.08676	120.714	2.03333
276.831	3.92059	119.248	2.06667
278.452	3.76323	117.785	2.1
280.061	3.61414	116.325	2.13333
281.657	3.47283	114.87	2.16667
283.24	3.33882	113.421	2.2
284.809	3.21169	111.979	2.23333
286.365	3.09101	110.544	2.26667
287.906	2.97642	109.117	2.3
289.433	2.86755	107.699	2.33333
290.945	2.76407	106.291	2.36667
292.443	2.66567	104.892	2.4
293.925	2.57206	103.503	2.43333
295.391	2.48296	102.126	2.46667
296.842	2.39813	100.759	2.5
298.278	2.31731	99.4047	2.53333
299.698	2.24029	98.0619	2.56667
301.102	2.16686	96.7314	2.6
302.49	2.09681	95.4133	2.63333
303.862	2.02997	94.1079	2.66667
305.218	1.96616	92.8155	2.7
306.559	1.90522	91.5362	2.73333
307.883	1.84699	90.2702	2.76667
309.191	1.79133	89.0175	2.8
310.484	1.7381	87.7783	2.83333
311.76	1.68719	86.5527	2.86667
313.021	1.63846	85.3408	2.9
314.266	1.5918	84.1427	2.93333
315.495	1.54712	82.9582	2.96667
316.708	1.50431	81.7876	3
317.906	1.46327	80.6308	3.03333
319.088	1.42392	79.4878	3.06667
320.255	1.38617	78.3586	3.1
321.407	1.34995	77.2431	3.13333
