S	I	R	t
300	100	0	0
290.21	99.8633	9.92678	0.0333333
280.926	99.4085	19.6655	0.0666667
272.158	98.6567	29.1852	0.1
263.908	97.6314	38.461	0.133333
256.171	96.3577	47.4708	0.166667
248.943	94.8619	56.1953	0.2
242.211	93.1703	64.6185	0.233333
235.964	91.3093	72.7268	0.266667
230.186	89.3046	80.5098	0.3
224.86	87.1807	87.9595	0.333333
219.968	84.9609	95.0708	0.366667
215.493	82.6669	101.841	0.4
211.413	80.319	108.268	0.433333
207.711	77.9353	114.354	0.466667
204.366	75.5324	120.101	0.5
201.36	73.1251	125.515	0.533333
198.674	70.7265	130.6	0.566667
196.289	68.3479	135.363	0.6
194.189	65.9992	139.812	0.633333
192.355	63.6887	143.956	0.666667
190.773	61.4236	147.804	0.7
189.426	59.2095	151.365	0.733333
188.3	57.0513	154.649	0.766667
187.38	54.9526	157.667	0.8
186.654	52.9162	160.43	0.833333
186.109	50.9442	162.947	0.866667
185.733	49.038	165.229	0.9
185.515	47.1981	167.287	0.933333
185.444	45.4249	169.131	0.966667
185.511	43.7182	170.771	1
185.706	42.0772	172.217	1.03333
186.02	40.5012	173.479	1.06667
186.445	38.989	174.566	1.1
186.973	37.5391	175.488	1.13333
187.597	36.1501	176.253	1.16667
188.31	34.8201	176.869	1.2
189.106	33.5475	177.346	1.23333
189.978	32.3304	177.691	1.26667
190.921	31.1669	177.912	1.3
191.929	30.055	178.016	1.33333
192.998	28.9928	178.009	1.36667
194.122	27.9785	177.899	1.4
195.297	27.01	177.693	1.43333
196.52	26.0854	177.395	1.46667
197.785	25.203	177.012	1.5
199.089	24.3609	176.55	1.53333
200.43	23.5573	176.013	1.56667
201.803	22.7906	175.407	1.6
203.205	22.0591	174.736	1.63333
204.634	21.3612	174.005	1.66667
206.086	20.6954	173.218	1.7
207.56	20.0601	172.38	1.73333
209.053	19.4539	171.493	1.76667
210.562	18.8756	170.562	1.8
212.086	18.3238	169.591	1.83333
213.622	17.7972	168.581	1.86667
215.168	17.2946	167.537	1.9
216.724	16.815	166.461	1.93333
218.286	16.3572	165.357	1.96667
219.854	15.9202	164.226	2
221.426	15.503	163.071	2.03333
223	15.1047	161.895	2.06667
224.576	14.7244	160.699	2.1
226.152	14.3613	159.486	2.13333
227.727	14.0145	158.258	2.16667
229.3	13.6833	157.017	2.2
230.87	13.3669	155.763	2.23333
232.435	13.0647	154.5	2.26667
233.996	12.776	153.228	2.3
235.551	12.5002	151.949	2.33333
237.099	12.2367	150.664	2.36667
238.64	11.985	149.375	2.4
240.173	11.7445	148.083	2.43333
241.697	11.5146	146.789	2.46667
243.212	11.2951	145.493	2.5
244.717	11.0853	144.198	2.53333
246.211	10.8848	142.904	2.56667
247.695	10.6934	141.611	2.6
249.168	10.5104	140.322	2.63333
250.629	10.3357	139.036	2.66667
252.077	10.1689	137.754	2.7
253.514	10.0095	136.477	2.73333
254.937	9.85737	135.206	2.76667
256.347	9.71214	133.941	2.8
257.744	9.57354	132.682	2.83333
259.127	9.44131	131.431	2.86667
260.496	9.3152	130.188	2.9
261.852	9.19495	128.954	2.93333
263.192	9.08034	127.727	2.96667
264.518	8.97117	126.511	3
265.83	8.86721	125.303	3.03333
267.126	8.76828	124.106	3.06667
268.408	8.67419	122.918	3.1
269.674	8.58476	121.741	3.13333
270.925	8.49983	120.575	3.16667
272.16	8.41923	119.42	3.2
273.381	8.34283	118.277	3.23333
274.585	8.27046	117.144	3.26667
275.774	8.20201	116.024	3.3
276.947	8.13733	114.915	3.33333
278.105	8.0763	113.819	3.36667
279.247	8.01882	112.735	3.4
280.372	7.96475	111.663	3.43333
281.483	7.91401	110.603	3.46667
282.577	7.86649	109.557	3.5
283.655	7.82209	108.523	3.53333
284.718	7.78072	107.502	3.56667
285.764	7.7423	106.493	3.6
286.795	7.70674	105.498	3.63333
287.81	7.67397	104.516	3.66667
288.809	7.6439	103.547	3.7
289.793	7.61648	102.591	3.73333
290.76	7.59162	101.648	3.76667
291.712	7.56927	100.719	3.8
292.648	7.54937	99.8024	3.83333
293.569	7.53186	98.8995	3.86667
294.473	7.51667	98.0099	3.9
295.363	7.50376	97.1336	3.93333
296.236	7.49308	96.2706	3.96667
297.095	7.48458	95.4209	4
297.937	7.47821	94.5845	4.03333
298.765	7.47393	93.7615	4.06667
299.577	7.4717	92.9517	4.1
300.373	7.47148	92.1551	4.13333
301.155	7.47322	91.3719	4.16667
301.921	7.47689	90.6018	4.2
302.673	7.48247	89.8449	4.23333
303.409	7.4899	89.1012	4.26667
304.13	7.49917	88.3706	4.3
304.837	7.51024	87.6531	4.33333
305.528	7.52308	86.9487	4.36667
306.205	7.53766	86.2573	4.4
306.867	7.55396	85.5788	4.43333
307.515	7.57195	84.9132	4.46667
308.148	7.59161	84.2605	4.5
308.766	7.6129	83.6207	4.53333
309.371	7.63582	82.9936	4.56667
309.96	7.66033	82.3792	4.6
310.536	7.68641	81.7775	4.63333
311.098	7.71405	81.1884	4.66667
311.645	7.74322	80.6119	4.7
312.178	7.7739	80.0479	4.73333
312.698	7.80608	79.4963	4.76667
313.203	7.83972	78.9571	4.8
313.695	7.87483	78.4302	4.83333
314.173	7.91137	77.9156	4.86667
314.637	7.94934	77.4132	4.9
315.088	7.9887	76.923	4.93333
315.526	8.02945	76.4448	4.96667
315.95	8.07157	75.9786	5
316.361	8.11505	75.5244	5.03333
316.758	8.15985	75.0821	5.06667
317.142	8.20598	74.6517	5.1
317.514	8.25341	74.2329	5.13333
317.872	8.30212	73.8259	5.16667
318.217	8.3521	73.4305	5.2
318.55	8.40334	73.0467	5.23333
318.87	8.45581	72.6743	5.26667
319.177	8.5095	72.3134	5.3
319.472	8.56439	71.9638	5.33333
319.754	8.62047	71.6255	5.36667
320.024	8.67771	71.2985	5.4
320.281	8.73611	70.9826	5.43333
320.527	8.79564	70.6777	5.46667
320.76	8.85628	70.3839	5.5
320.981	8.91801	70.101	5.53333
321.19	8.98083	69.8289	5.56667
321.388	9.0447	69.5677	5.6
321.573	9.10961	69.3171	5.63333
321.747	9.17553	69.0772	5.66667
321.91	9.24246	68.8478	5.7
322.061	9.31036	68.629	5.73333
322.2	9.37922	68.4205	5.76667
322.329	9.44901	68.2224	5.8
322.446	9.51971	68.0345	5.83333
322.552	9.5913	67.8567	5.86667
322.647	9.66376	67.6891	5.9
322.731	9.73705	67.5315	5.93333
322.805	9.81117	67.3838	5.96667
322.868	9.88607	67.2459	6
322.92	9.96175	67.1178	6.03333
322.963	10.0382	66.9993	6.06667
322.994	10.1153	66.8904	6.1
323.016	10.1931	66.7911	6.13333
323.027	10.2716	66.7011	6.16667
323.029	10.3507	66.6204	6.2
323.021	10.4304	66.5489	6.23333
323.003	10.5106	66.4866	6.26667
322.975	10.5914	66.4333	6.3
322.938	10.6728	66.3889	6.33333
322.892	10.7546	66.3534	6.36667
322.837	10.8368	66.3266	6.4
322.772	10.9195	66.3084	6.43333
322.699	11.0025	66.2987	6.46667
322.617	11.0859	66.2975	6.5
322.526	11.1696	66.3045	6.53333
322.427	11.2536	66.3198	6.56667
322.319	11.3378	66.3432	6.6
322.203	11.4222	66.3745	6.63333
322.079	11.5068	66.4138	6.66667
321.948	11.5916	66.4608	6.7
321.808	11.6764	66.5154	6.73333
321.661	11.7613	66.5776	6.76667
