S	I	R	t
182.899	32.5332	184.568	3.05
183.444	32.4418	184.114	3.06667
183.985	32.3536	183.662	3.08333
184.521	32.2686	183.21	3.1
185.054	32.1866	182.759	3.11667
185.583	32.1077	182.31	3.13333
186.107	32.0318	181.861	3.15
186.627	31.9588	181.414	3.16667
187.143	31.8888	180.968	3.18333
187.655	31.8217	180.523	3.2
188.162	31.7574	180.08	3.21667
188.665	31.6959	179.639	3.23333
189.164	31.6371	179.199	3.25
189.658	31.5811	178.761	3.26667
190.147	31.5278	178.325	3.28333
190.632	31.4771	177.891	3.3
191.113	31.4291	177.458	3.31667
191.588	31.3836	177.028	3.33333
192.06	31.3406	176.6	3.35
192.526	31.3002	176.174	3.36667
192.988	31.2622	175.75	3.38333
193.445	31.2267	175.328	3.4
193.897	31.1936	174.909	3.41667
194.345	31.1629	174.492	3.43333
194.787	31.1344	174.078	3.45
195.225	31.1084	173.666	3.46667
195.658	31.0845	173.257	3.48333
196.086	31.063	172.851	3.5
196.51	31.0436	172.447	3.51667
196.928	31.0265	172.046	3.53333
197.341	31.0115	171.647	3.55
197.75	30.9986	171.252	3.56667
198.153	30.9879	170.859	3.58333
198.551	30.9792	170.469	3.6
198.945	30.9726	170.083	3.61667
199.333	30.968	169.699	3.63333
199.716	30.9653	169.318	3.65
200.094	30.9647	168.941	3.66667
200.467	30.966	168.567	3.68333
200.835	30.9692	168.195	3.7
201.198	30.9743	167.827	3.71667
201.556	30.9812	167.463	3.73333
201.909	30.99	167.101	3.75
202.256	31.0007	166.743	3.76667
202.599	31.0131	166.388	3.78333
202.936	31.0272	166.037	3.8
203.268	31.0431	165.689	3.81667
203.595	31.0607	165.344	3.83333
203.917	31.08	165.003	3.85
204.233	31.101	164.666	3.86667
204.545	31.1236	164.332	3.88333
204.851	31.1479	164.001	3.9
205.152	31.1737	163.674	3.91667
205.448	31.2012	163.351	3.93333
205.739	31.2301	163.031	3.95
206.024	31.2606	162.715	3.96667
206.305	31.2926	162.403	3.98333
206.58	31.3261	162.094	4
206.85	31.3611	161.789	4.01667
207.115	31.3975	161.488	4.03333
207.375	31.4353	161.19	4.05
207.629	31.4745	160.896	4.06667
207.879	31.5151	160.606	4.08333
208.123	31.5571	160.32	4.1
208.362	31.6003	160.037	4.11667
208.597	31.6449	159.759	4.13333
208.826	31.6908	159.484	4.15
209.049	31.7379	159.213	4.16667
209.268	31.7863	158.945	4.18333
209.482	31.8359	158.682	4.2
209.691	31.8867	158.422	4.21667
209.895	31.9387	158.167	4.23333
210.093	31.9919	157.915	4.25
210.287	32.0461	157.667	4.26667
210.476	32.1015	157.423	4.28333
210.659	32.158	157.183	4.3
210.838	32.2156	156.946	4.31667
211.012	32.2742	156.714	4.33333
211.181	32.3339	156.485	4.35
211.345	32.3946	156.261	4.36667
211.504	32.4562	156.04	4.38333
211.658	32.5189	155.823	4.4
211.807	32.5824	155.61	4.41667
211.952	32.6469	155.401	4.43333
212.092	32.7123	155.196	4.45
212.227	32.7786	154.995	4.46667
212.357	32.8458	154.797	4.48333
212.482	32.9138	154.604	4.5
212.603	32.9826	154.414	4.51667
212.719	33.0522	154.229	4.53333
212.831	33.1226	154.047	4.55
212.938	33.1937	153.869	4.56667
213.04	33.2656	153.694	4.58333
213.138	33.3382	153.524	4.6
213.231	33.4115	153.358	4.61667
213.32	33.4854	153.195	4.63333
213.404	33.56	153.036	4.65
213.484	33.6352	152.881	4.66667
213.559	33.7111	152.73	4.68333
213.63	33.7875	152.582	4.7
213.697	33.8645	152.439	4.71667
213.759	33.942	152.299	4.73333
213.818	34.0201	152.162	4.75
213.871	34.0986	152.03	4.76667
213.921	34.1776	151.901	4.78333
213.967	34.2571	151.776	4.8
214.008	34.3371	151.655	4.81667
214.046	34.4174	151.537	4.83333
214.079	34.4981	151.423	4.85
214.108	34.5792	151.313	4.86667
214.134	34.6607	151.206	4.88333
214.155	34.7424	151.103	4.9
214.172	34.8245	151.003	4.91667
214.186	34.9069	150.907	4.93333
214.196	34.9895	150.814	4.95
214.202	35.0724	150.725	4.96667
214.205	35.1555	150.64	4.98333
