S	I	R	t
300	100	0	0
295.076	98.3062	6.61753	0.0166667
290.386	96.5678	13.0457	0.0333333
285.909	94.7871	19.304	0.05
281.638	92.9711	25.3909	0.0666667
277.568	91.1259	31.3058	0.0833333
273.694	89.2579	37.0483	0.1
270.009	87.3727	42.6185	0.116667
266.508	85.4757	48.0168	0.133333
263.184	83.572	53.244	0.15
260.033	81.6662	58.3012	0.166667
257.047	79.7628	63.1898	0.183333
254.223	77.8657	67.9115	0.2
251.553	75.9786	72.4682	0.216667
249.033	74.105	76.8621	0.233333
246.657	72.2478	81.0954	0.25
244.42	70.4098	85.1707	0.266667
242.316	68.5936	89.0906	0.283333
240.341	66.8012	92.8579	0.3
238.49	65.0348	96.4755	0.316667
236.757	63.296	99.9466	0.333333
235.14	61.5863	103.274	0.35
233.632	59.907	106.461	0.366667
232.23	58.2593	109.511	0.383333
230.929	56.644	112.427	0.4
229.726	55.0618	115.212	0.416667
228.616	53.5134	117.87	0.433333
227.596	51.9992	120.405	0.45
226.662	50.5196	122.818	0.466667
225.811	49.0746	125.114	0.483333
225.04	47.6645	127.296	0.5
224.344	46.2891	129.367	0.516667
223.721	44.9485	131.33	0.533333
223.168	43.6423	133.189	0.55
222.682	42.3703	134.947	0.566667
222.261	41.1323	136.607	0.583333
221.901	39.9278	138.171	0.6
221.6	38.7564	139.644	0.616667
221.355	37.6176	141.027	0.633333
221.165	36.5109	142.324	0.65
221.026	35.4358	143.538	0.666667
220.938	34.3916	144.671	0.683333
220.896	33.3779	145.726	0.7
220.901	32.3939	146.706	0.716667
220.948	31.439	147.613	0.733333
221.038	30.5126	148.45	0.75
221.167	29.6141	149.219	0.766667
221.335	28.7427	149.923	0.783333
221.539	27.8978	150.563	0.8
221.778	27.0787	151.144	0.816667
222.05	26.2848	151.665	0.833333
222.354	25.5153	152.13	0.85
222.689	24.7698	152.541	0.866667
223.053	24.0474	152.9	0.883333
223.444	23.3475	153.208	0.9
223.863	22.6695	153.468	0.916667
224.306	22.0128	153.681	0.933333
224.774	21.3768	153.849	0.95
225.264	20.7608	153.975	0.966667
225.777	20.1642	154.059	0.983333
226.311	19.5865	154.103	1
226.864	19.0271	154.109	1.01667
227.437	18.4853	154.078	1.03333
228.028	17.9608	154.011	1.05
228.636	17.4529	153.912	1.06667
229.26	16.9611	153.779	1.08333
229.9	16.4848	153.616	1.1
230.554	16.0237	153.422	1.11667
231.223	15.5772	153.2	1.13333
231.905	15.1449	152.951	1.15
232.599	14.7263	152.675	1.16667
233.305	14.3209	152.374	1.18333
234.023	13.9283	152.049	1.2
234.751	13.5481	151.701	1.21667
235.489	13.1799	151.331	1.23333
236.237	12.8234	150.94	1.25
236.993	12.478	150.529	1.26667
237.758	12.1435	150.098	1.28333
238.531	11.8194	149.649	1.3
239.311	11.5055	149.183	1.31667
240.099	11.2015	148.7	1.33333
240.892	10.9068	148.201	1.35
241.692	10.6214	147.687	1.36667
242.497	10.3448	147.158	1.38333
243.307	10.0768	146.616	1.4
244.122	9.81705	146.061	1.41667
244.942	9.56531	145.493	1.43333
245.765	9.3213	144.913	1.45
246.593	9.08478	144.323	1.46667
247.423	8.85548	143.721	1.48333
248.257	8.63318	143.11	1.5
249.094	8.41763	142.489	1.51667
249.933	8.20861	141.859	1.53333
250.774	8.00591	141.22	1.55
251.617	7.80932	140.574	1.56667
252.461	7.61862	139.92	1.58333
253.307	7.43364	139.259	1.6
254.154	7.25417	138.592	1.61667
255.002	7.08004	137.918	1.63333
255.851	6.91108	137.238	1.65
256.7	6.7471	136.553	1.66667
257.549	6.58795	135.863	1.68333
258.399	6.43346	135.168	1.7
259.248	6.2835	134.468	1.71667
260.097	6.1379	133.765	1.73333
260.945	5.99652	133.058	1.75
261.793	5.85923	132.348	1.76667
262.64	5.7259	131.634	1.78333
263.486	5.5964	130.918	1.8
264.331	5.47059	130.199	1.81667
265.174	5.34837	129.478	1.83333
266.016	5.22962	128.754	1.85
266.856	5.11423	128.029	1.86667
267.695	5.00208	127.303	1.88333
268.532	4.89308	126.575	1.9
269.367	4.78712	125.846	1.91667
270.2	4.68411	125.116	1.93333
271.031	4.58396	124.385	1.95
271.859	4.48657	123.654	1.96667
272.686	4.39185	122.923	1.98333
273.509	4.29973	122.191	2
274.33	4.21012	121.459	2.01667
275.149	4.12295	120.728	2.03333
275.965	4.03813	119.997	2.05
276.778	3.95559	119.266	2.06667
277.588	3.87527	118.537	2.08333
278.395	3.79709	117.807	2.1
279.2	3.72099	117.079	2.11667
280.001	3.64691	116.352	2.13333
280.799	3.57478	115.626	2.15
281.594	3.50454	114.901	2.16667
282.386	3.43614	114.178	2.18333
283.174	3.36952	113.456	2.2
283.959	3.30462	112.736	2.21667
284.741	3.2414	112.018	2.23333
285.519	3.1798	111.301	2.25
286.294	3.11978	110.586	2.26667
287.065	3.06129	109.874	2.28333
287.833	3.00428	109.163	2.3
288.597	2.94871	108.455	2.31667
289.357	2.89454	107.748	2.33333
290.114	2.84172	107.044	2.35
290.867	2.79022	106.343	2.36667
291.616	2.74	105.644	2.38333
292.362	2.69102	104.947	2.4
293.104	2.64324	104.253	2.41667
293.842	2.59663	103.561	2.43333
294.576	2.55116	102.873	2.45
295.307	2.50679	102.187	2.46667
296.033	2.46349	101.503	2.48333
296.756	2.42123	100.823	2.5
297.475	2.37999	100.145	2.51667
298.19	2.33973	99.4706	2.53333
298.901	2.30042	98.7989	2.55
299.608	2.26204	98.1302	2.56667
300.311	2.22456	97.4645	2.58333
301.01	2.18797	96.8019	2.6
301.705	2.15222	96.1423	2.61667
302.397	2.11731	95.4859	2.63333
303.084	2.0832	94.8327	2.65
303.768	2.04987	94.1826	2.66667
304.447	2.01731	93.5358	2.68333
305.122	1.98549	92.8921	2.7
305.794	1.95439	92.2518	2.71667
