S	I	R	t
252	84	64	0.239167
252	83	65	0.24
251	84	65	0.240833
251	84	65	0.241667
252	84	64	0.2425
251	85	64	0.243333
251	85	64	0.244167
251	84	65	0.245
250	85	65	0.245833
250	84	66	0.246667
250	84	66	0.2475
250	84	66	0.248333
250	84	66	0.249167
250	84	66	0.25
249	85	66	0.250833
249	85	66	0.251667
249	85	66	0.2525
249	85	66	0.253333
249	84	67	0.254167
249	84	67	0.255
250	84	66	0.255833
250	84	66	0.256667
250	84	66	0.2575
250	82	68	0.258333
251	82	67	0.259167
251	82	67	0.26
252	82	66	0.260833
252	82	66	0.261667
252	82	66	0.2625
252	81	67	0.263333
252	81	67	0.264167
252	81	67	0.265
252	80	68	0.265833
252	80	68	0.266667
252	79	69	0.2675
252	79	69	0.268333
252	79	69	0.269167
252	78	70	0.27
252	78	70	0.270833
252	78	70	0.271667
252	78	70	0.2725
252	78	70	0.273333
252	78	70	0.274167
252	78	70	0.275
252	78	70	0.275833
252	78	70	0.276667
252	78	70	0.2775
252	78	70	0.278333
251	79	70	0.279167
251	79	70	0.28
251	78	71	0.280833
251	78	71	0.281667
251	78	71	0.2825
251	78	71	0.283333
251	78	71	0.284167
251	78	71	0.285
251	78	71	0.285833
251	78	71	0.286667
251	78	71	0.2875
251	77	72	0.288333
251	77	72	0.289167
251	76	73	0.29
251	76	73	0.290833
251	76	73	0.291667
251	76	73	0.2925
250	77	73	0.293333
249	78	73	0.294167
249	78	73	0.295
250	77	73	0.295833
249	77	74	0.296667
249	77	74	0.2975
249	75	76	0.298333
249	75	76	0.299167
249	75	76	0.3
249	75	76	0.300833
250	75	75	0.301667
250	75	75	0.3025
249	76	75	0.303333
249	76	75	0.304167
249	75	76	0.305
249	75	76	0.305833
249	74	77	0.306667
249	74	77	0.3075
248	75	77	0.308333
248	75	77	0.309167
248	75	77	0.31
248	75	77	0.310833
248	74	78	0.311667
248	73	79	0.3125
248	73	79	0.313333
248	73	79	0.314167
248	73	79	0.315
248	73	79	0.315833
249	73	78	0.316667
249	73	78	0.3175
249	72	79	0.318333
249	72	79	0.319167
249	72	79	0.32
250	72	78	0.320833
250	72	78	0.321667
250	72	78	0.3225
250	72	78	0.323333
249	73	78	0.324167
249	73	78	0.325
248	74	78	0.325833
247	75	78	0.326667
247	74	79	0.3275
247	74	79	0.328333
246	74	80	0.329167
245	75	80	0.33
245	75	80	0.330833
244	76	80	0.331667
242	78	80	0.3325
241	79	80	0.333333
241	78	81	0.334167
241	78	81	0.335
241	78	81	0.335833
241	78	81	0.336667
242	77	81	0.3375
242	77	81	0.338333
242	76	82	0.339167
242	76	82	0.34
242	76	82	0.340833
242	75	83	0.341667
242	73	85	0.3425
242	73	85	0.343333
242	73	85	0.344167
242	73	85	0.345
242	73	85	0.345833
242	73	85	0.346667
242	73	85	0.3475
242	73	85	0.348333
242	73	85	0.349167
242	73	85	0.35
242	73	85	0.350833
242	73	85	0.351667
242	73	85	0.3525
242	73	85	0.353333
242	73	85	0.354167
242	73	85	0.355
242	72	86	0.355833
242	72	86	0.356667
242	72	86	0.3575
242	72	86	0.358333
242	72	86	0.359167
242	71	87	0.36
241	72	87	0.360833
241	71	88	0.361667
241	71	88	0.3625
240	72	88	0.363333
240	71	89	0.364167
240	71	89	0.365
240	71	89	0.365833
240	70	90	0.366667
240	70	90	0.3675
240	70	90	0.368333
240	69	91	0.369167
240	69	91	0.37
240	69	91	0.370833
240	69	91	0.371667
240	69	91	0.3725
240	69	91	0.373333
240	69	91	0.374167
239	70	91	0.375
239	70	91	0.375833
239	70	91	0.376667
239	70	91	0.3775
239	70	91	0.378333
239	70	91	0.379167
239	70	91	0.38
238	71	91	0.380833
238	71	91	0.381667
238	70	92	0.3825
238	70	92	0.383333
238	70	92	0.384167
238	70	92	0.385
238	70	92	0.385833
238	70	92	0.386667
238	70	92	0.3875
238	70	92	0.388333
237	71	92	0.389167
237	71	92	0.39
237	71	92	0.390833
237	71	92	0.391667
236	72	92	0.3925
236	71	93	0.393333
236	71	93	0.394167
236	71	93	0.395
236	71	93	0.395833
236	70	94	0.396667
236	70	94	0.3975
236	70	94	0.398333
236	70	94	0.399167
236	70	94	0.4
235	71	94	0.400833
235	71	94	0.401667
235	71	94	0.4025
234	72	94	0.403333
234	72	94	0.404167
233	72	95	0.405
231	74	95	0.405833
231	74	95	0.406667
231	74	95	0.4075
231	74	95	0.408333
231	74	95	0.409167
231	74	95	0.41
231	73	96	0.410833
231	72	97	0.411667
231	72	97	0.4125
231	72	97	0.413333
231	72	97	0.414167
231	72	97	0.415
231	72	97	0.415833
231	72	97	0.416667
229	74	97	0.4175
229	74	97	0.418333
229	74	97	0.419167
228	75	97	0.42
228	75	97	0.420833
228	75	97	0.421667
227	76	97	0.4225
227	76	97	0.423333
227	75	98	0.424167
227	76	97	0.425
227	76	97	0.425833
227	76	97	0.426667
227	76	97	0.4275
227	76	97	0.428333
227	76	97	0.429167
227	76	97	0.43
227	76	97	0.430833
227	76	97	0.431667
228	76	96	0.4325
228	76	96	0.433333
228	76	96	0.434167
228	76	96	0.435
228	76	96	0.435833
228	75	97	0.436667
228	75	97	0.4375
228	75	97	0.438333
228	74	98	0.439167
228	74	98	0.44
228	74	98	0.440833
228	74	98	0.441667
228	74	98	0.4425
227	75	98	0.443333
227	75	98	0.444167
226	76	98	0.445
226	76	98	0.445833
226	75	99	0.446667
225	76	99	0.4475
225	76	99	0.448333
225	76	99	0.449167
225	76	99	0.45
225	76	99	0.450833
225	75	100	0.451667
225	75	100	0.4525
225	75	100	0.453333
225	73	102	0.454167
225	73	102	0.455
225	73	102	0.455833
225	73	102	0.456667
225	73	102	0.4575
223	75	102	0.458333
223	75	102	0.459167
222	76	102	0.46
222	76	102	0.460833
222	75	103	0.461667
222	75	103	0.4625
222	75	103	0.463333
222	75	103	0.464167
222	75	103	0.465
221	76	103	0.465833
221	76	103	0.466667
220	77	103	0.4675
220	76	104	0.468333
219	77	104	0.469167
219	76	105	0.47
219	75	106	0.470833
219	75	106	0.471667
219	75	106	0.4725
219	74	107	0.473333
220	73	107	0.474167
220	73	107	0.475
220	73	107	0.475833
220	73	107	0.476667
219	74	107	0.4775
219	73	108	0.478333
219	73	108	0.479167
219	73	108	0.48
219	73	108	0.480833
