S	I	R	t
101.655	99.5772	198.768	6.03333
101.594	99.6313	198.775	6.06667
101.533	99.6834	198.784	6.1
101.472	99.7335	198.794	6.13333
101.413	99.7817	198.806	6.16667
101.353	99.8278	198.819	6.2
101.294	99.872	198.833	6.23333
101.237	99.9143	198.849	6.26667
101.179	99.9547	198.866	6.3
101.123	99.9933	198.884	6.33333
101.068	100.03	198.903	6.36667
101.013	100.065	198.922	6.4
100.96	100.098	198.943	6.43333
100.907	100.129	198.964	6.46667
100.856	100.159	198.986	6.5
100.805	100.187	199.008	6.53333
100.756	100.213	199.031	6.56667
100.708	100.237	199.054	6.6
100.661	100.26	199.078	6.63333
100.616	100.282	199.102	6.66667
100.571	100.302	199.127	6.7
100.528	100.32	199.152	6.73333
100.486	100.337	199.177	6.76667
100.445	100.353	199.202	6.8
100.406	100.367	199.227	6.83333
100.368	100.38	199.252	6.86667
100.331	100.392	199.277	6.9
100.295	100.403	199.302	6.93333
100.261	100.412	199.327	6.96667
100.228	100.42	199.352	7
100.196	100.428	199.377	7.03333
100.165	100.434	199.401	7.06667
100.135	100.439	199.426	7.1
100.107	100.443	199.45	7.13333
100.08	100.446	199.474	7.16667
100.054	100.449	199.497	7.2
100.03	100.45	199.52	7.23333
100.006	100.451	199.543	7.26667
99.9838	100.451	199.566	7.3
99.9626	100.45	199.588	7.33333
99.9424	100.448	199.609	7.36667
99.9233	100.446	199.631	7.4
99.9053	100.443	199.652	7.43333
99.8883	100.44	199.672	7.46667
99.8723	100.436	199.692	7.5
99.8574	100.431	199.711	7.53333
99.8433	100.426	199.73	7.56667
99.8303	100.421	199.749	7.6
99.8181	100.415	199.767	7.63333
99.8068	100.409	199.784	7.66667
99.7964	100.402	199.801	7.7
99.7869	100.395	199.818	7.73333
99.7781	100.388	199.834	7.76667
99.7702	100.38	199.849	7.8
99.763	100.373	199.864	7.83333
99.7565	100.365	199.879	7.86667
99.7508	100.356	199.893	7.9
99.7457	100.348	199.906	7.93333
99.7414	100.339	199.919	7.96667
99.7376	100.331	199.932	8
99.7345	100.322	199.944	8.03333
99.7319	100.313	199.955	8.06667
99.7299	100.304	199.966	8.1
99.7285	100.295	199.977	8.13333
99.7275	100.286	199.987	8.16667
99.7271	100.277	199.996	8.2
99.7271	100.268	200.005	8.23333
99.7276	100.259	200.014	8.26667
99.7285	100.249	200.022	8.3
99.7298	100.24	200.03	8.33333
99.7314	100.231	200.037	8.36667
99.7335	100.222	200.044	8.4
99.7358	100.214	200.051	8.43333
99.7385	100.205	200.057	8.46667
99.7415	100.196	200.062	8.5
99.7447	100.187	200.068	8.53333
99.7482	100.179	200.073	8.56667
99.752	100.171	200.077	8.6
99.756	100.162	200.082	8.63333
99.7601	100.154	200.086	8.66667
99.7645	100.146	200.089	8.7
99.769	100.139	200.092	8.73333
99.7737	100.131	200.095	8.76667
99.7786	100.123	200.098	8.8
99.7835	100.116	200.1	8.83333
99.7886	100.109	200.102	8.86667
99.7938	100.102	200.104	8.9
99.799	100.095	200.106	8.93333
99.8043	100.089	200.107	8.96667
99.8097	100.082	200.108	9
99.8151	100.076	200.109	9.03333
99.8206	100.07	200.11	9.06667
99.8261	100.064	200.11	9.1
99.8316	100.058	200.11	9.13333
99.8371	100.053	200.11	9.16667
99.8427	100.047	200.11	9.2
99.8482	100.042	200.11	9.23333
99.8536	100.037	200.109	9.26667
99.8591	100.032	200.109	9.3
99.8645	100.028	200.108	9.33333
99.8699	100.023	200.107	9.36667
99.8752	100.019	200.106	9.4
99.8805	100.015	200.105	9.43333
99.8857	100.011	200.103	9.46667
99.8908	100.007	200.102	9.5
99.8959	100.004	200.1	9.53333
99.9009	100	200.099	9.56667
99.9058	99.997	200.097	9.6
99.9106	99.9939	200.095	9.63333
99.9154	99.991	200.094	9.66667
99.92	99.9882	200.092	9.7
99.9246	99.9856	200.09	9.73333
99.929	99.9832	200.088	9.76667
99.9333	99.9809	200.086	9.8
99.9376	99.9787	200.084	9.83333
99.9417	99.9767	200.082	9.86667
99.9458	99.9748	200.079	9.9
99.9497	99.9731	200.077	9.93333
99.9535	99.9714	200.075	9.96667
