x	v	u	e
0	1.5910054981	0	2.12202817055e-314
0.111111111111	1.94744309496	0.559700945518	0.908030737288
0.222222222222	1.89746959576	0.669419843429	0.606771190872
0.333333333333	1.71370841357	0.631007806629	0.539895526599
0.444444444444	1.48590526429	0.543832104845	0.549442367097
0.555555555556	1.24360380827	0.440603746488	0.600208853406
0.666666666667	0.99652961134	0.332090966152	0.693533615772
0.777777777778	0.747884261566	0.221838591155	0.863437984282
0.888888888889	0.498721699295	0.111013553795	1.25060055414
1	0.249388874295	5.88857304931e-18	6.95334847619e-310
