x	y	z	t
0.395313	-0.918726	0	0.81
0.423968	-0.905852	0	0.815
0.452206	-0.892084	0	0.82
0.479997	-0.877437	0	0.825
0.507315	-0.861923	0	0.83
0.534132	-0.84556	0	0.835
0.560423	-0.828362	0	0.84
0.58616	-0.810347	0	0.845
0.611319	-0.791533	0	0.85
0.635875	-0.771937	0	0.855
0.659804	-0.75158	0	0.86
0.683082	-0.730482	0	0.865
0.705685	-0.708662	0	0.87
0.727593	-0.686144	0	0.875
0.748782	-0.662949	0	0.88
0.769233	-0.639099	0	0.885
0.788925	-0.614619	0	0.89
0.807838	-0.589532	0	0.895
0.825954	-0.563864	0	0.9
0.843255	-0.537639	0	0.905
0.859724	-0.510884	0	0.91
0.875345	-0.483624	0	0.915
0.890102	-0.455888	0	0.92
0.90398	-0.427701	0	0.925
0.916967	-0.399092	0	0.93
0.929049	-0.37009	0	0.935
0.940213	-0.340723	0	0.94
0.95045	-0.311019	0	0.945
0.95975	-0.281008	0	0.95
0.968102	-0.25072	0	0.955
0.975498	-0.220184	0	0.96
0.981932	-0.189432	0	0.965
0.987397	-0.158492	0	0.97
0.991888	-0.127396	0	0.975
0.9954	-0.0961741	0	0.98
0.997929	-0.0648573	0	0.985
0.999474	-0.0334766	0	0.99
1.00003	-0.00206282	0	0.995
0.999603	0.029353	0	1
0.998188	0.0607398	0	1.005
0.995788	0.0920667	0	1.01
0.992405	0.123303	0	1.015
0.988043	0.154417	0	1.02
0.982705	0.185379	0	1.025
0.976398	0.216158	0	1.03
0.969128	0.246724	0	1.035
0.960901	0.277046	0	1.04
0.951725	0.307095	0	1.045
0.941611	0.336841	0	1.05
0.930567	0.366254	0	1.055
0.918605	0.395306	0	1.06
0.905737	0.423968	0	1.065
0.891975	0.452211	0	1.07
0.877332	0.480009	0	1.075
0.861824	0.507332	0	1.08
0.845465	0.534155	0	1.085
0.828272	0.560451	0	1.09
0.810262	0.586194	0	1.095
0.791453	0.611358	0	1.1
0.771862	0.63592	0	1.105
0.75151	0.659853	0	1.11
0.730416	0.683136	0	1.115
0.708601	0.705744	0	1.12
